Text Label,Y Data
38,4
43,0
33,0
32,0
30,0
31,0
29,0
20,0
16,0
27,6
25,18
24,7
17,0
5,21
26,0
21,0
23,0
19,0
22,7
15,7
28,8
18,3
14,3
13,0
10,22
12,18
6,57
8,143
11,71
0,125
9,129
4,120
7,94
2,90
1,149
3,74
